game_number;game_name;game_date;game_time;results;rank;league_numbers;game_start;url
537929284;It's a Wonderful World;2024-07-16 00:00:00;0 days 09:07:59.999998800;N/A-DlouhejProvaz-66, N/A-Kunizial-63;241;;2024-07-15 14:52:00.000001200;https://boardgamearena.com/table?table=537929284
537372496;Patchwork;2024-07-16 00:00:00;1 days 12:01:00.000001200;N/A-DlouhejProvaz-31, N/A-xylaranuk-1;491;8;2024-07-14 11:58:59.999998800;https://boardgamearena.com/table?table=537372496
537781255;Wingspan;2024-07-15 21:52:00;0 days 01:46:00.000001200;N/A-DlouhejProvaz-75, N/A-nazario77-71;223;3;2024-07-15 20:05:59.999998800;https://boardgamearena.com/table?table=537781255
528809563;Terraforming Mars;2024-07-15 19:55:00;22 days 04:19:59.999998800;N/A-Byybel-80, N/A-DlouhejProvaz-63, N/A-Lykke34-55, N/A-elektropg-52;195;;2024-06-23 15:35:00.000001200;https://boardgamearena.com/table?table=528809563
528043779;Terraforming Mars;2024-07-15 11:50:00;23 days 18:01:59.999998800;N/A-shilfee7409-103, N/A-ever7ess-96, N/A-DlouhejProvaz-80;-1300;;2024-06-21 17:48:00.000001200;https://boardgamearena.com/table?table=528043779
537288624;Patchwork;2024-07-15 11:26:00;0 days 19:06:00;N/A-DlouhejProvaz-28, N/A-JanaK00-4;489;6;2024-07-14 16:20:00.000000000;https://boardgamearena.com/table?table=537288624
536447590;Wingspan;2024-07-15 09:20:00;2 days 18:39:00;N/A-Inkiblinki-85, N/A-DlouhejProvaz-84;212;0;2024-07-12 14:41:00.000000000;https://boardgamearena.com/table?table=536447590
537314957;Nova Luna;2024-07-14 22:41:00;0 days 04:48:00;N/A-DlouhejProvaz-20, N/A-Hanszuurmond-16;317;4;2024-07-14 17:53:00.000000000;https://boardgamearena.com/table?table=537314957
536875979;Railroad Ink;2024-07-14 21:11:00;1 days 05:07:59.999998800;N/A-dismantling_blow-65, N/A-DlouhejProvaz-60, N/A-Ezriki-56;335;4;2024-07-13 16:03:00.000001200;https://boardgamearena.com/table?table=536875979
536881425;Gizmos;2024-07-14 20:57:00;1 days 04:34:00.000001200;N/A-Vosp-37, N/A-DlouhejProvaz-37;184;0;2024-07-13 16:22:59.999998800;https://boardgamearena.com/table?table=536881425
536352015;Patchwork;2024-07-13 22:29:00;1 days 12:52:00.000001200;N/A-DlouhejProvaz-39, N/A-edgeking8--8;483;;2024-07-12 09:36:59.999998800;https://boardgamearena.com/table?table=536352015
531136584;It's a Wonderful World;2024-07-13 20:27:00;14 days 09:16:59.999998800;N/A-epervius-56, N/A-DlouhejProvaz-52, N/A-Csak A-46, N/A-PopoHappy-40, N/A-Krychlik-34;231;;2024-06-29 11:10:00.000001200;https://boardgamearena.com/table?table=531136584
536863174;Patchwork;2024-07-13 17:15:00;0 days 01:42:00;N/A-DlouhejProvaz-38, N/A-rew6-32-13;481;3;2024-07-13 15:33:00.000000000;https://boardgamearena.com/table?table=536863174
533584084;Patchwork;2024-07-13 16:32:00;8 days 02:24:00;N/A-Turtledude3333-29, N/A-DlouhejProvaz--8;478;;2024-07-05 14:08:00.000000000;https://boardgamearena.com/table?table=533584084
536170625;Patchwork;2024-07-13 15:26:00;1 days 17:39:00;N/A-FruTux-8, N/A-DlouhejProvaz-0;482;;2024-07-11 21:47:00.000000000;https://boardgamearena.com/table?table=536170625
536441243;Railroad Ink;2024-07-12 19:07:00;0 days 04:19:00.000001200;N/A-Yobo R6L-44, N/A-DlouhejProvaz-38, N/A-kikak yo-35;331;2;2024-07-12 14:47:59.999998800;https://boardgamearena.com/table?table=536441243
533583974;Patchwork;2024-07-12 14:35:00;7 days 00:31:59.999998799;N/A-DlouhejProvaz-31, N/A-mantidecalma--7;499;;2024-07-05 14:03:00.000001201;https://boardgamearena.com/table?table=533583974
534841507;Patchwork;2024-07-12 09:37:00;3 days 15:06:00;N/A-DlouhejProvaz-37, N/A-Taiver--10;495;;2024-07-08 18:31:00.000000000;https://boardgamearena.com/table?table=534841507
