tournament_link;place
299411;17
296663;33
297259;9
300787;9
294493;65
286156;9
299410;9
298103;33
296662;5
292449;9
299409;17
289017;17
295372;9
291088;65
289016;33
297893;33
296656;9
289331;9
295911;12
295145;65
291096;33
295146;33
282910;17
295147;65
291313;9
273412;18
282908;33
282902;5
195322;7
282901;33
275257;9
174786;11
275254;17
184310;18
194066;19
274654;65
263800;33
268398;17
193761;29
260780;33
256115;65
251193;65
260774;17
251237;33
253689;3
251233;33
245617;10
184325;17
253686;5
179834;22
253687;5
245480;3
237140;7
252188;17
245478;9
245611;9
245606;33
248429;1
198457;18
249101;33
194078;12
195318;12
232747;17
240742;65
235998;65
229109;65
201074;17
226251;32
217817;17
187063;12
227484;17
219676;17
223724;9
223718;5
221224;33
221222;33
206888;65
222196;4
210221;9
215130;129
222020;17
214022;65
215261;33
211382;17
210219;33
204347;18
214344;17
215128;129
198974;33
206733;3
210542;9
209603;17
182052;182
212540;33
198973;17
206886;17
209601;17
198862;10
209188;17
206701;5
208159;3
203232;65
202309;129
207256;17
208165;33
206911;8
187483;7
203980;17
197957;33
200045;33
